model,strategy,n,macro_f1,f1_wrinkling,f1_visible_cut,f1_bruising,f1_discoloration,f1_mold
llava15_7b,freeform_list,52,0.3186,0.4211,0.3571,0.1961,0.4483,0.1702
llava15_7b,freeform_brutal_critic,52,0.2814,0.4,0.2791,0.2105,0.4,0.1176
llava15_7b,freeform_indifferent_critic,52,0.3309,0.3214,0.4906,0.25,0.4561,0.1364
llava15_7b,freeform_nice_critic,52,0.2589,0.3243,0.4,0.2,0.2162,0.1538
llava15_7b,logit_per_defect,52,0.3731,0.4242,0.5263,0.2667,0.4262,0.2222
qwen2_vl_7b,freeform_list,52,0.4078,0.1818,0.2667,0.3125,0.6111,0.6667
qwen2_vl_7b,freeform_brutal_critic,52,0.2984,0.4706,0.2667,0.303,0.4516,0.0
qwen2_vl_7b,freeform_indifferent_critic,52,0.271,0.2759,0.2667,0.2941,0.5185,0.0
qwen2_vl_7b,freeform_nice_critic,52,0.3055,0.0952,0.2667,0.2857,0.48,0.4
qwen2_vl_7b,logit_per_defect,52,0.4261,0.2456,0.56,0.2273,0.5641,0.5333
qwen25_vl_7b,freeform_list,52,0.3106,0.0,0.3529,0.3,0.5,0.4
qwen25_vl_7b,freeform_brutal_critic,52,0.4225,0.0625,0.5263,0.2857,0.5714,0.6667
qwen25_vl_7b,freeform_indifferent_critic,52,0.4476,0.0667,0.7273,0.3158,0.4615,0.6667
qwen25_vl_7b,freeform_nice_critic,52,0.1879,0.0,0.2667,0.0,0.2727,0.4
qwen25_vl_7b,logit_per_defect,52,0.3754,0.0,0.6,0.2105,0.4,0.6667
internvl3_8b,freeform_list,52,0.3787,0.2759,0.7619,0.2308,0.625,0.0
internvl3_8b,freeform_brutal_critic,52,0.4284,0.32,0.6667,0.2667,0.5556,0.3333
internvl3_8b,freeform_indifferent_critic,52,0.4025,0.1667,0.6667,0.25,0.5957,0.3333
internvl3_8b,freeform_nice_critic,52,0.2582,0.0,0.6316,0.1333,0.5263,0.0
internvl3_8b,logit_per_defect,52,0.4357,0.2745,0.5641,0.24,0.6383,0.4615
llama32_11b_vision,freeform_list,52,0.4288,0.2692,0.4242,0.1053,0.5455,0.8
llama32_11b_vision,freeform_brutal_critic,52,0.4341,0.4194,0.2857,0.0909,0.5172,0.8571
llama32_11b_vision,freeform_indifferent_critic,52,0.4298,0.4375,0.2353,0.0,0.619,0.8571
llama32_11b_vision,freeform_nice_critic,52,0.4118,0.186,0.0833,0.2105,0.5789,1.0
llama32_11b_vision,logit_per_defect,52,0.5246,0.3243,0.7619,0.2703,0.6667,0.6
