model,strategy_a,strategy_b,n,a_only_correct,b_only_correct,mcnemar_exact_p
internvl3_8b,freeform_brutal_critic,freeform_indifferent_critic,174,16,41,0.001264
internvl3_8b,freeform_brutal_critic,freeform_inspector,174,18,42,0.00267
internvl3_8b,freeform_brutal_critic,freeform_neutral,174,16,44,0.000394
internvl3_8b,freeform_brutal_critic,freeform_nice_critic,174,20,44,0.00369
internvl3_8b,freeform_brutal_critic,logit_cascade,174,6,31,4.1e-05
internvl3_8b,freeform_indifferent_critic,freeform_inspector,174,29,28,1.0
internvl3_8b,freeform_indifferent_critic,freeform_neutral,174,5,8,0.581055
internvl3_8b,freeform_indifferent_critic,freeform_nice_critic,174,5,4,1.0
internvl3_8b,freeform_indifferent_critic,logit_cascade,174,16,16,1.0
internvl3_8b,freeform_inspector,freeform_neutral,174,26,30,0.68888
internvl3_8b,freeform_inspector,freeform_nice_critic,174,31,31,1.0
internvl3_8b,freeform_inspector,logit_cascade,174,22,23,1.0
internvl3_8b,freeform_neutral,freeform_nice_critic,174,8,4,0.387695
internvl3_8b,freeform_neutral,logit_cascade,174,18,15,0.728332
internvl3_8b,freeform_nice_critic,logit_cascade,174,17,18,1.0
llama32_11b_vision,freeform_brutal_critic,freeform_indifferent_critic,174,13,8,0.38331
llama32_11b_vision,freeform_brutal_critic,freeform_inspector,174,31,55,0.012673
llama32_11b_vision,freeform_brutal_critic,freeform_neutral,174,17,41,0.002233
llama32_11b_vision,freeform_brutal_critic,freeform_nice_critic,174,13,41,0.000175
llama32_11b_vision,freeform_brutal_critic,logit_cascade,174,16,43,0.000584
llama32_11b_vision,freeform_indifferent_critic,freeform_inspector,174,26,55,0.001689
llama32_11b_vision,freeform_indifferent_critic,freeform_neutral,174,14,43,0.000154
llama32_11b_vision,freeform_indifferent_critic,freeform_nice_critic,174,11,44,9e-06
llama32_11b_vision,freeform_indifferent_critic,logit_cascade,174,15,47,5.8e-05
llama32_11b_vision,freeform_inspector,freeform_neutral,174,29,29,1.0
llama32_11b_vision,freeform_inspector,freeform_nice_critic,174,31,35,0.712231
llama32_11b_vision,freeform_inspector,logit_cascade,174,29,32,0.798153
llama32_11b_vision,freeform_neutral,freeform_nice_critic,174,12,16,0.571588
llama32_11b_vision,freeform_neutral,logit_cascade,174,18,21,0.749259
llama32_11b_vision,freeform_nice_critic,logit_cascade,174,27,26,1.0
llava15_7b,freeform_brutal_critic,freeform_indifferent_critic,174,15,10,0.424356
llava15_7b,freeform_brutal_critic,freeform_inspector,174,12,8,0.503445
llava15_7b,freeform_brutal_critic,freeform_neutral,174,13,16,0.711071
llava15_7b,freeform_brutal_critic,freeform_nice_critic,174,19,27,0.301996
llava15_7b,freeform_brutal_critic,logit_cascade,174,54,20,9.6e-05
llava15_7b,freeform_indifferent_critic,freeform_inspector,174,6,7,1.0
llava15_7b,freeform_indifferent_critic,freeform_neutral,174,23,31,0.340891
llava15_7b,freeform_indifferent_critic,freeform_nice_critic,174,29,42,0.153913
llava15_7b,freeform_indifferent_critic,logit_cascade,174,50,21,0.000767
llava15_7b,freeform_inspector,freeform_neutral,174,20,27,0.381693
llava15_7b,freeform_inspector,freeform_nice_critic,174,26,38,0.168643
llava15_7b,freeform_inspector,logit_cascade,174,51,21,0.000535
llava15_7b,freeform_neutral,freeform_nice_critic,174,6,11,0.332306
llava15_7b,freeform_neutral,logit_cascade,174,63,26,0.00011
