model,task,strategy,n,accuracy,macro_f1,packaged_precision,packaged_recall,packaged_f1,produce_precision,produce_recall,produce_f1,bakery_precision,bakery_recall,bakery_f1,parse_fail_rate,confusion_matrix,fresh_precision,fresh_recall,fresh_f1,edible_soon_precision,edible_soon_recall,edible_soon_f1,spoiled_precision,spoiled_recall,spoiled_f1
internvl3_8b,donation_type,freeform_brutal_critic,414,0.9517,0.8912,0.9852,0.9259,0.9547,0.9942,0.9773,0.9857,0.5789,1.0,0.7333,0.0,"[[200, 1, 15], [3, 172, 1], [0, 0, 22]]",,,,,,,,,
internvl3_8b,donation_type,freeform_indifferent_critic,414,0.9565,0.9013,0.9854,0.9352,0.9596,0.9942,0.9773,0.9857,0.6111,1.0,0.7586,0.0,"[[202, 1, 13], [3, 172, 1], [0, 0, 22]]",,,,,,,,,
internvl3_8b,donation_type,freeform_neutral,414,0.9758,0.9434,0.9859,0.9722,0.979,1.0,0.9773,0.9885,0.7586,1.0,0.8627,0.0,"[[210, 0, 6], [3, 172, 1], [0, 0, 22]]",,,,,,,,,
internvl3_8b,donation_type,freeform_nice_critic,414,0.9614,0.9083,0.9855,0.9444,0.9645,1.0,0.9773,0.9885,0.6286,1.0,0.7719,0.0,"[[204, 0, 12], [3, 172, 1], [0, 0, 22]]",,,,,,,,,
internvl3_8b,donation_type,logit_multichoice,414,0.9565,0.8947,0.9901,0.9306,0.9594,1.0,0.983,0.9914,0.5789,1.0,0.7333,0.0,"[[201, 0, 15], [2, 173, 1], [0, 0, 22]]",,,,,,,,,
llama32_11b_vision,donation_type,freeform_brutal_critic,414,0.9614,0.9163,0.9386,0.9907,0.964,0.9883,0.9602,0.9741,1.0,0.6818,0.8108,0.0,"[[214, 2, 0], [7, 169, 0], [7, 0, 15]]",,,,,,,,,
llama32_11b_vision,donation_type,freeform_indifferent_critic,414,0.9469,0.8491,0.9076,1.0,0.9515,1.0,0.9432,0.9708,1.0,0.4545,0.625,0.0,"[[216, 0, 0], [10, 166, 0], [12, 0, 10]]",,,,,,,,,
llama32_11b_vision,donation_type,freeform_neutral,414,0.9372,0.8087,0.8996,0.9954,0.9451,0.994,0.9375,0.9649,0.8889,0.3636,0.5161,0.0,"[[215, 1, 0], [10, 165, 1], [14, 0, 8]]",,,,,,,,,
llama32_11b_vision,donation_type,freeform_nice_critic,414,0.9686,0.9332,0.9513,0.9954,0.9729,0.9941,0.9602,0.9769,0.9444,0.7727,0.85,0.0,"[[215, 1, 0], [6, 169, 1], [5, 0, 17]]",,,,,,,,,
llama32_11b_vision,donation_type,logit_multichoice,414,0.9638,0.93,0.9389,0.9954,0.9663,1.0,0.9489,0.9738,0.9444,0.7727,0.85,0.0,"[[215, 0, 1], [9, 167, 0], [5, 0, 17]]",,,,,,,,,
llava15_7b,donation_type,freeform_brutal_critic,414,0.8285,0.6753,0.7579,1.0,0.8623,1.0,0.6932,0.8188,0.7143,0.2273,0.3448,0.0,"[[216, 0, 0], [52, 122, 2], [17, 0, 5]]",,,,,,,,,
llava15_7b,donation_type,freeform_indifferent_critic,414,0.8527,0.7111,0.7855,1.0,0.8798,1.0,0.7443,0.8534,0.75,0.2727,0.4,0.0,"[[216, 0, 0], [43, 131, 2], [16, 0, 6]]",,,,,,,,,
llava15_7b,donation_type,freeform_neutral,414,0.8478,0.6303,0.7798,1.0,0.8763,1.0,0.7557,0.8608,0.5,0.0909,0.1538,0.0,"[[216, 0, 0], [41, 133, 2], [20, 0, 2]]",,,,,,,,,
llava15_7b,donation_type,freeform_nice_critic,414,0.8261,0.6734,0.7552,1.0,0.8606,1.0,0.6875,0.8148,0.7143,0.2273,0.3448,0.0,"[[216, 0, 0], [53, 121, 2], [17, 0, 5]]",,,,,,,,,
llava15_7b,donation_type,logit_multichoice,414,0.5217,0.2286,0.5217,1.0,0.6857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[216, 0, 0], [176, 0, 0], [22, 0, 0]]",,,,,,,,,
qwen25_vl_7b,donation_type,freeform_brutal_critic,415,0.9229,0.8569,0.871,1.0,0.931,1.0,0.8757,0.9337,1.0,0.5455,0.7059,0.0,"[[216, 0, 0], [22, 155, 0], [10, 0, 12]]",,,,,,,,,
qwen25_vl_7b,donation_type,freeform_indifferent_critic,414,0.9783,0.9505,0.9683,0.9907,0.9794,1.0,0.9773,0.9885,0.9048,0.8636,0.8837,0.0,"[[214, 0, 2], [4, 172, 0], [3, 0, 19]]",,,,,,,,,
qwen25_vl_7b,donation_type,freeform_neutral,414,0.9348,0.9336,0.8954,0.9907,0.9407,1.0,0.8636,0.9268,0.913,0.9545,0.9333,0.0,"[[214, 0, 2], [24, 152, 0], [1, 0, 21]]",,,,,,,,,
qwen25_vl_7b,donation_type,freeform_nice_critic,414,0.9807,0.9622,0.9815,0.9815,0.9815,1.0,0.9773,0.9885,0.8462,1.0,0.9167,0.0,"[[212, 0, 4], [4, 172, 0], [0, 0, 22]]",,,,,,,,,
qwen25_vl_7b,donation_type,logit_multichoice,414,0.8986,0.8088,0.9888,0.8148,0.8934,0.9775,0.9886,0.9831,0.3793,1.0,0.55,0.0,"[[176, 4, 36], [2, 174, 0], [0, 0, 22]]",,,,,,,,,
qwen2_vl_7b,donation_type,freeform_brutal_critic,414,0.9444,0.726,0.9038,1.0,0.9495,1.0,0.9773,0.9885,1.0,0.1364,0.24,0.0,"[[216, 0, 0], [4, 172, 0], [19, 0, 3]]",,,,,,,,,
qwen2_vl_7b,donation_type,freeform_indifferent_critic,414,0.9444,0.726,0.9038,1.0,0.9495,1.0,0.9773,0.9885,1.0,0.1364,0.24,0.0,"[[216, 0, 0], [4, 172, 0], [19, 0, 3]]",,,,,,,,,
qwen2_vl_7b,donation_type,freeform_neutral,414,0.9372,0.7426,0.8926,1.0,0.9432,1.0,0.9545,0.9767,1.0,0.1818,0.3077,0.0,"[[216, 0, 0], [8, 168, 0], [18, 0, 4]]",,,,,,,,,
qwen2_vl_7b,donation_type,freeform_nice_critic,414,0.9469,0.7492,0.9076,1.0,0.9515,1.0,0.9773,0.9885,1.0,0.1818,0.3077,0.0,"[[216, 0, 0], [4, 172, 0], [18, 0, 4]]",,,,,,,,,
qwen2_vl_7b,donation_type,logit_multichoice,414,0.971,0.9311,0.9857,0.9583,0.9718,1.0,0.983,0.9914,0.7097,1.0,0.8302,0.0,"[[207, 0, 9], [3, 173, 0], [0, 0, 22]]",,,,,,,,,
internvl3_8b,freshness,freeform_brutal_critic,174,0.4253,0.394,,,,,,,,,,0.0,"[[47, 55, 6], [9, 18, 6], [1, 23, 9]]",0.8246,0.4352,0.5697,0.1875,0.5455,0.2791,0.4286,0.2727,0.3333
internvl3_8b,freshness,freeform_indifferent_critic,174,0.569,0.4001,,,,,,,,,,0.0,"[[83, 22, 3], [19, 13, 1], [8, 22, 3]]",0.7545,0.7685,0.7615,0.2281,0.3939,0.2889,0.4286,0.0909,0.15
internvl3_8b,freshness,freeform_inspector,174,0.5632,0.409,,,,,,,,,,0.0,"[[67, 6, 35], [14, 0, 19], [2, 0, 31]]",0.8072,0.6204,0.7016,0.0,0.0,0.0,0.3647,0.9394,0.5254
